trajectory_id,year,month,day,hour,x,y,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,timestamp,x_translate,y_translate,x_rotated,y_rotated,speed,angle_deg,sym_speed,sym_wind,sym_pressure,sym_dir,symbol
                Amy,1975,6,27,0,27.5,-79.0,tropical depression,,25,1013,-1998,-1998,62700,0.0,0.0,0.0,0.0,,,,W0,P4,,NA_NA_W0_P4
                Amy,1975,6,27,12,29.5,-79.0,tropical depression,,25,1013,-1998,-1998,62712,2.0,0.0,0.8764708232324762,-1.7977204721597253,2.0,-64.00865244512988,S1,W0,P4,,S1_NA_W0_P4
                Amy,1975,6,27,18,30.5,-79.0,tropical depression,,25,1013,-1998,-1998,62718,3.0,0.0,1.3147062348487142,-2.696580708239588,0.9999999999999999,-64.00865244512988,S0,W0,P4,,S0_NA_W0_P4
                Amy,1975,6,27,60,28.5,-79.0,tropical depression,,25,1013,-1998,-1998,62760,1.0,0.0,0.4382354116162381,-0.8988602360798627,1.9999999999999998,115.99134755487012,S1,W0,P4,,S1_NA_W0_P4
                Amy,1975,6,28,0,31.5,-78.8,tropical depression,,25,1012,-1998,-1998,62800,4.0,0.20000000000000284,1.9327136936809275,-3.507793861996202,3.0066592756745822,-60.194577610839474,S2,W0,P4,,S2_NA_W0_P4
                Amy,1975,6,28,12,33.3,-78.0,tropical depression,,25,1011,-1998,-1998,62812,5.799999999999997,1.0,3.4406256234540424,-4.775153957646963,1.9697715603592174,-40.04616347055175,S1,W0,P4,,S1_NA_W0_P4
                Amy,1975,6,28,18,34.0,-77.0,tropical depression,,30,1006,-1998,-1998,62818,6.5,2.0,4.646250647665273,-4.966120711286631,1.2206555615733716,-9.000672643688622,S1,W0,P3,,S1_NA_W0_P3
                Amy,1975,6,28,60,32.4,-78.7,tropical depression,,25,1012,-1998,-1998,62860,4.899999999999999,0.29999999999999716,2.4170115877435223,-4.272944533306456,2.334523505985753,162.72705214379855,S2,W0,P4,,S2_NA_W0_P4
                Amy,1975,6,29,0,34.4,-75.8,tropical storm,,35,1004,-1998,-1998,62900,6.899999999999999,3.200000000000003,5.900177095607605,-4.799782311779088,3.5227829907617116,-8.60094113263978,S3,W1,P3,,S3_NA_W1_P3
                Amy,1975,6,29,12,33.8,-73.8,tropical storm,,45,1000,-1998,-1998,62912,6.299999999999997,5.200000000000003,7.434956320797587,-3.3839953468986925,2.0880613017821115,42.69059178886378,S2,W2,P2,,S2_NA_W2_P2
                Amy,1975,6,29,18,33.8,-72.8,tropical storm,,50,998,-1998,-1998,62918,6.299999999999997,6.200000000000003,8.33381655687745,-2.9457599352824544,0.9999999999999997,25.991347554870128,S0,W3,P2,,S0_NA_W3_P2
                Amy,1975,6,29,60,34.0,-74.8,tropical storm,,40,1002,-1998,-1998,62960,6.5,4.200000000000003,6.623743167040973,-4.002002805730905,2.009975124224178,-148.29805930763015,S1,W2,P2,,S1_NA_W2_P2
                Amy,1975,6,30,0,34.3,-71.6,tropical storm,,50,998,-1998,-1998,63000,6.799999999999997,7.400000000000006,9.631566545981407,-2.8693075593828987,3.2140317359976427,20.635522512014973,S2,W3,P2,,S2_NA_W3_P2
                Amy,1975,6,30,12,35.9,-70.5,tropical storm,,60,987,-1998,-1998,63012,8.399999999999999,8.5,11.321489464255231,-3.8254249843328214,1.9416487838947574,-29.50012945746168,S1,W3,P1,,S1_NA_W3_P1
                Amy,1975,6,30,18,36.2,-70.2,tropical storm,,60,987,-1998,-1998,63018,8.700000000000003,8.799999999999997,11.72261815856406,-3.9636124316719137,0.42426406871192895,-19.00865244513056,S0,W3,P1,,S0_NA_W3_P1
                Amy,1975,6,30,60,35.6,-70.8,tropical storm,,55,998,-1998,-1998,63060,8.100000000000001,8.200000000000003,10.920360769946406,-3.6872375369937354,0.8485281374238526,160.99134755486978,S0,W3,P2,,S0_NA_W3_P2
                Amy,1975,7,1,0,36.2,-69.8,tropical storm,,60,984,-1998,-1998,70100,8.700000000000003,9.200000000000003,12.082162252996012,-3.7883182670254154,1.1661903789690609,-4.972408977203431,S1,W3,P1,,S1_NA_W3_P1
                Amy,1975,7,1,12,36.2,-68.3,tropical storm,,60,984,-1998,-1998,70112,8.700000000000003,10.700000000000003,13.430452607115805,-3.1309651496010584,1.4999999999999996,25.99134755487012,S1,W3,P1,,S1_NA_W3_P1
                Amy,1975,7,1,18,36.7,-67.2,tropical storm,,60,984,-1998,-1998,70118,9.200000000000003,11.799999999999997,14.638316572611767,-3.098336314863131,1.2083045973594513,1.5473927744534444,S1,W3,P1,,S1_NA_W3_P1
                Amy,1975,7,1,60,36.2,-69.4,tropical storm,,60,984,-1998,-1998,70160,8.700000000000003,9.599999999999994,12.44170634742795,-3.6130241023789242,2.256102834535697,-166.81291851041664,S2,W3,P1,,S2_NA_W3_P1
                Amy,1975,7,2,0,37.4,-66.7,tropical storm,,60,984,-1998,-1998,70200,9.899999999999999,12.299999999999997,15.394511478783064,-3.5084207743109115,2.954657340538832,2.0288585802920314,S2,W3,P1,,S2_NA_W3_P1
                Amy,1975,7,2,12,37.3,-65.1,tropical storm,,60,981,-1998,-1998,70212,9.799999999999997,13.900000000000006,16.78886431534923,-2.71735809211694,1.6031219541881496,29.56768192986745,S1,W3,P1,,S1_NA_W3_P1
                Amy,1975,7,2,18,37.3,-64.1,tropical storm,,60,986,-1998,-1998,70218,9.799999999999997,14.900000000000006,17.687724551429092,-2.279122680500702,0.9999999999999996,25.991347554870107,S0,W3,P1,,S0_NA_W3_P1
                Amy,1975,7,2,60,37.3,-65.9,tropical storm,,60,984,-1998,-1998,70260,9.799999999999997,13.099999999999994,16.069776126485326,-3.0679464214099355,1.8000000000000138,-154.00865244512994,S1,W3,P1,,S1_NA_W3_P1
                Amy,1975,7,3,0,37.7,-62.8,tropical storm,,55,986,-1998,-1998,70300,10.200000000000003,16.200000000000003,19.031537022979407,-2.0689607398315433,3.125699921617567,18.638968194977675,S2,W3,P1,,S2_NA_W3_P1
                Amy,1975,7,3,12,39.3,-59.6,tropical storm,,55,986,-1998,-1998,70312,11.799999999999997,19.4,22.609066437020942,-2.1047838003873576,3.577708763999657,-0.5737036222078097,S3,W3,P1,,S3_NA_W3_P1
                Amy,1975,7,3,18,40.5,-58.0,tropical storm,,50,986,-1998,-1998,70318,13.0,21.0,24.573125308688212,-2.482239425097214,2.000000000000004,-10.878550090973953,S1,W3,P1,,S1_NA_W3_P1
                Amy,1975,7,3,60,38.2,-61.2,tropical storm,,55,986,-1998,-1998,70360,10.700000000000003,17.799999999999997,20.688831106515302,-1.8172141992854964,3.9408120990476077,170.2846561542673,S3,W3,P1,,S3_NA_W3_P1
                Amy,1975,7,4,0,42.5,-54.8,tropical storm,,50,986,-1998,-1998,70400,15.0,24.200000000000003,28.32594888737625,-2.8776065800849775,7.7103826104804964,-7.904819008493762,S3,W3,P1,,S3_NA_W3_P1
                Amy,1975,7,4,12,47.0,-48.0,extratropical,,45,995,-1998,-1998,70412,19.5,31.0,36.41025784499239,-3.9424768434539423,8.154140052758477,-7.503837118871083,S3,W2,P2,,S3_NA_W2_P2
                Amy,1975,7,4,60,44.5,-51.6,tropical storm,,50,986,-1998,-1998,70460,17.0,27.4,32.07877246606428,-3.2729737350727426,4.382921400162232,171.21351618850625,S3,W3,P1,,S3_NA_W3_P1
                Ana,2003,4,18,0,29.1,-66.2,extratropical,,30,1008,-1998,-1998,41800,19.1,-21.200000000000003,26.50583321091809,10.568387095247399,,,,W0,P4,,NA_NA_W0_P4
                Ana,2003,4,18,12,30.8,-65.8,extratropical,,30,1008,-1998,-1998,41812,20.8,-20.799999999999997,26.719831111328915,12.30165132744622,1.7464249196573,82.9615818424234,S1,W0,P4,,S1_NA_W0_P4
                Ana,2003,4,18,18,31.9,-66.3,extratropical,,30,1007,-1998,-1998,41818,21.9,-21.299999999999997,27.570089259926476,13.160173942607546,1.2083045973594557,45.277107146819375,S1,W0,P3,,S1_NA_W0_P3
                Ana,2003,4,18,60,29.9,-66.0,extratropical,,30,1008,-1998,-1998,41860,19.9,-21.0,26.59550261811403,11.388118391107895,2.0223748416156675,-118.80970368271205,S2,W0,P4,,S2_NA_W0_P4
                Ana,2003,4,19,0,33.0,-66.9,extratropical,,30,1007,-1998,-1998,41900,23.0,-21.900000000000006,28.514149049001873,13.984037471749923,3.2280024783137966,53.53185567020892,S2,W0,P3,,S2_NA_W0_P3
                Ana,2003,4,19,12,34.5,-68.6,extratropical,,35,1006,-1998,-1998,41912,24.5,-23.599999999999994,30.628663227409113,14.80185761659517,2.267156809750915,21.144727552238834,S2,W1,P3,,S2_NA_W1_P3
                Ana,2003,4,19,18,34.3,-69.1,extratropical,,35,1006,-1998,-1998,41918,24.299999999999997,-24.099999999999994,31.028353257760344,14.440958905544774,0.5385164807134548,-42.08034755911574,S0,W1,P3,,S0_NA_W1_P3
                Ana,2003,4,19,60,33.8,-67.6,extratropical,,35,1006,-1998,-1998,41960,23.799999999999997,-22.599999999999994,29.44803322049822,14.491836993439883,1.5811388300841958,178.15601075015798,S1,W1,P3,,S1_NA_W1_P3
                Ana,2003,4,20,0,33.6,-69.0,extratropical,,40,1005,-1998,-1998,42000,23.6,-24.0,30.69193801514988,13.819006508218951,1.414213562373102,-28.40904042691977,S1,W2,P3,,S1_NA_W2_P3
                Ana,2003,4,20,12,32.0,-68.2,subtropical storm,,45,1000,-1998,-1998,42012,22.0,-23.200000000000003,29.3869795150241,12.59545294872534,1.7888543819998337,-136.84398924984188,S1,W2,P2,,S1_NA_W2_P2
                Ana,2003,4,20,18,31.7,-67.3,subtropical storm,,45,998,-1998,-1998,42018,21.7,-22.299999999999997,28.438787492666826,12.625979801462407,0.9486832980505197,178.1560107501579,S0,W2,P2,,S0_NA_W2_P2
                Ana,2003,4,20,60,32.7,-68.9,subtropical storm,,40,1003,-1998,-1998,42060,22.700000000000003,-23.900000000000006,30.28620460050152,13.009450829937476,1.8867962264113298,11.726445135319484,S1,W2,P3,,S1_NA_W2_P3
                Ana,2003,4,21,0,31.4,-66.4,tropical storm,,50,995,-1998,-1998,42100,21.4,-21.400000000000006,27.490595470309568,12.65650665419947,2.8178005607210714,-172.8045064464868,S2,W3,P2,,S2_NA_W3_P2
                Ana,2003,4,21,12,30.0,-64.8,tropical storm,,50,995,-1998,-1998,42112,20.0,-19.799999999999997,25.50454201839908,11.897829063813106,2.126029162546937,-159.09301290705454,S2,W3,P2,,S2_NA_W3_P2
                Ana,2003,4,21,18,29.4,-63.1,tropical storm,,50,994,-1998,-1998,42118,19.4,-18.1,23.701959614162366,11.924223683268284,1.8027756377319921,179.16109675541225,S1,W3,P2,,S1_NA_W3_P2
                Ana,2003,4,21,60,30.6,-65.8,tropical storm,,50,995,-1998,-1998,42160,20.6,-20.799999999999997,26.65051293929102,12.11404804649057,2.954657340538829,3.683550901814275,S2,W3,P2,,S2_NA_W3_P2
                Ana,2003,4,22,0,29.4,-61.5,tropical storm,,50,994,-1998,-1998,42200,19.4,-16.5,22.20113336651717,12.478769059571466,4.464302857109939,175.31387286650238,S3,W3,P2,,S3_NA_W3_P2
                Ana,2003,4,22,12,29.6,-58.5,tropical storm,,45,995,-1998,-1998,42212,19.6,-13.5,19.45640232422032,13.706144921095582,3.0066592756745836,155.9069870929456,S2,W2,P2,,S2_NA_W2_P2
                Ana,2003,4,22,18,29.7,-56.6,tropical storm,,45,996,-1998,-1998,42218,19.7,-11.600000000000001,17.708830241160598,14.458469195933432,1.9026297590440435,156.7082744230527,S1,W2,P2,,S1_NA_W2_P2
