user_id,timestamp,trajectory_id,ftid,x,y,w,h
54,0,ckz3xadsm00073867s2f56arc,0,0.365625,0.0885416666666666,0.0375,0.0479166666666666
54,0,cl2y6vcnk0003396crlfnynr8,0,0.41328125,0.0208333333333333,0.0359375,0.0416666666666666
54,0,cl2y6vvt70008396c0ckvnogs,0,0.2703125,0.0677083333333333,0.034375,0.0520833333333333
54,0,cl2y6w4lz000d396c9ut3tf7y,0,0.2609375,0.0802083333333333,0.034375,0.0479166666666666
54,0,cl2y6ws55000i396ckilwz9ni,0,0.2421875,0.1177083333333333,0.04375,0.0520833333333333
54,0,cl2y6x5bp000n396cjm1cw2ku,0,0.153125,0.1541666666666666,0.0375,0.0583333333333333
54,0,cl2y6xpxp000r396cfihfei9k,0,0.1453125,0.3520833333333333,0.040625,0.0541666666666666
54,0,cl2y6y2wp000x396cjmwsx95y,0,0.16484375,0.4041666666666667,0.0421875,0.0666666666666666
54,0,cl2y6yd760010396csyxzatmo,0,0.22265625,0.5302083333333333,0.0671875,0.09375
54,0,cl2y6yo4e0014396c3fyhh60p,0,0.41875,0.690625,0.046875,0.06875
54,0,cl2y6yu2k0018396cf3j7xkar,0,0.5609375,0.765625,0.04375,0.0604166666666666
54,0,cl2y6z5av001c396ch2uc9u30,0,0.7234375,0.2104166666666666,0.040625,0.0541666666666666
54,0,cl2y6zf1z001g396cxj1g5ctg,0,0.7234375,0.040625,0.04375,0.0604166666666666
54,0,cl2y6zn5g001k396crexidmbw,0,0.809375,0.075,0.040625,0.0583333333333333
54,0,cl2y702oj001o396ckjtscowe,0,0.64375,0.2083333333333333,0.075,0.1
54,0,cl2y70qpu001w396cr03czee2,0,0.8828125,0.4489583333333333,0.040625,0.0604166666666666
54,0,cl2y710l10020396cumqlujzb,0,0.86796875,0.51875,0.0453125,0.0666666666666666
54,0,cl2y7181x0024396c92jo5fle,0,0.96171875,0.515625,0.0484375,0.06875
54,0,cl2y71h0y0028396czyytm4ls,0,0.97421875,0.6239583333333333,0.0484375,0.0729166666666666
54,0,cl2y71xgv002c396c8i3p7ljc,0,0.86328125,0.9291666666666668,0.0453125,0.0625
54,0,cl2y725lh002g396ct8mx38g5,0,0.121875,0.9739583333333334,0.05,0.0520833333333333
54,0,cl2y72fbh002k396c3n09c56s,0,0.98515625,0.109375,0.0296875,0.0645833333333333
