trajectory_id,cluster,pca_1,pca_2,tsne_1,tsne_2,umap_1,umap_2
ckyw6zzlj001r3867thf0fuy7,2,-0.9378275654830976,0.00743060104652586,-26.538326,7.1917744,-4.392757,11.343345
ckyw704kw001v3867kvyjtx6k,2,-0.8808165877152513,-0.005521260584749287,-26.497448,6.4579635,-4.158039,11.11262
ckyw708pn001z386779fr849h,0,0.6226892800336987,0.4358101496970054,23.131187,12.622177,-0.24600312,1.7817614
ckyw7dzmx00273867fyj9lsnv,2,-0.9329871711593786,0.00647410080869462,-26.562489,7.005761,-4.3077216,11.328615
ckyw7e4o6002b3867ibaukox2,5,0.7829980406816749,1.0680579969153965,6.6002874,4.068064,-1.5341506,4.33489
ckyw7e9n0002f3867tn40h1u2,2,-1.0104452697587778,0.016630563913881548,-25.933271,8.1999,-4.5289774,11.631959
ckyw7qq3p002r3867g7ntncq2,5,0.1569348709447598,0.7084354972139445,-0.52645934,0.8365194,-3.0856283,5.474231
ckyw7vqeb000j3867v1k4y9wh,0,0.19483277302997182,-0.09622910251893095,27.378708,12.533193,0.32762963,-0.86227846
ckywzs7c60003386lx8xpyitp,0,0.20885552967670273,-0.20813320330892784,27.710936,9.828774,0.43122488,-0.45125136
ckywzsbvn0006386lup64vzl3,2,-0.9220696120621248,-0.0009046163662366681,-26.870354,6.7990856,-4.3443394,11.115205
ckywzsgpn000a386l8p612lq2,2,-0.9853775543963587,0.0642208406473759,-27.99269,9.963839,-4.7343087,11.757773
ckywzsjng000e386l0x3csdzp,1,-0.6100123565770694,-0.08929705264206077,-12.330349,9.821301,-21.844568,3.2926624
ckywzsptj000i386l97i7pdnr,5,0.05435104194109274,0.9231039103472116,-3.1082544,4.749085,-2.925862,6.1857443
ckywzstpz000m386ltbep0jdf,4,0.5187913180490715,-0.8717234572592353,30.372137,6.648314,6.5498924,-10.927818
ckywzt9s3000u386lg8o365om,4,0.5187913180490715,-0.8717234572592353,30.36735,6.647584,6.5756874,-10.932417
ckywztlv70012386lyzjoz3ce,0,0.8222547344169212,0.4394844036996858,18.639338,13.355961,-0.15006499,1.5452968
ckywzts4n0016386lfrsztf67,3,0.6595589435855709,0.6747485388450717,11.343318,5.724066,-1.5944972,3.929103
ckywzx06s001i386lmpznlxwl,2,-0.7624072103223352,-0.05234348361387582,-30.42344,6.407078,-3.5367339,11.541558
ckyx08h70001m386lqjybs9oy,1,-0.5393428135883909,0.04503559926461562,-16.50349,11.904362,-4.5285635,8.115005
ckyx0iks3001q386l8i539om7,2,-0.9167130220632455,-0.00734488261919789,-23.035604,2.4991539,-4.027742,9.392339
ckyx0mtcc001y386lnmogaytg,2,-0.7860856481262716,-0.046288161661401685,-20.508446,2.693951,-4.2872024,10.2099495
ckyx0p24500033p676mfyier1,2,-0.8593026054323766,0.001354635320461877,-26.186455,6.4627004,-4.248032,11.091566
ckyx0p8bu00073p678ma1nwz9,0,0.7621200774539737,0.3404136177805246,21.417524,11.922339,0.07784734,1.2465274
ckyx0pf8t000b3p67u6biy0y4,0,0.6814963526825983,0.16802504793277745,18.929033,9.533751,0.43864563,1.5029992
ckyx0pu50000f3p67k0qf8n66,0,0.9406885445922142,0.5301184402500296,17.824179,11.414098,-0.51855147,1.7714037
ckyx0pyml000j3p672kmjurxo,1,-0.36040098166641565,0.3916673440987245,-8.218011,6.981573,-4.006705,7.3178754
ckyx0q2xm000n3p6724s6mdc7,3,0.7136886026881497,0.6450440976380494,11.663659,7.2666125,-1.63981,3.6666038
ckyx0q7mh000r3p67ffu5cr0h,5,-0.07423503714746321,0.7011404228995344,-0.16876943,-1.4797502,-3.0512843,5.706771
