,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Serum total testosterone (nmol/L),"Serum Luteinizing hormone, LH (IU/L)","Serum sex hormone-binding globulin, SHBG (nmol/L)","Serum anti-Müllerian hormone, AMH (pmol/L)",Serum inhibin B (ng/L),"Serum follicle-stimulating hormone, FSH (IU/L)",Serum oestradiol (nmol/L)
0_0,-0.023198719092692596,-0.20954234276338457,-0.8170197276303667,-0.8539345274490354,-0.20840258009137014,0.7466106840504415,-0.34018440212637574,-0.549313786382816
0_1,-0.023198719092692596,-1.5316033094766965,-0.7843842655558111,-0.8539345274490354,-0.20840258009137014,0.7466106840504415,-0.34018440212637574,-0.549313786382816
0_3,-0.9868378198660784,0.8662523654445066,-0.33564666203067195,-0.05692896849660236,0.06946752669712337,0.33389690860605176,-0.05089372945197692,-0.549313786382816
1_0,2.996203796663916,2.227197478237623,3.621403114509193,2.5618035823471064,2.014558274216578,1.9847520103836107,-0.34018440212637574,3.046194633577426
1_1,-0.31229044932470834,-0.20954234276338457,0.11309094149446722,-0.8539345274490354,-0.7641427936683571,-0.8526551957965687,-0.05089372945197692,-0.549313786382816
1_3,-0.31229044932470834,-1.1427618486786635,0.11309094149446722,-0.8539345274490354,-0.20840258009137014,-0.078816866838338,-0.34018440212637574,-0.549313786382816
1_4,0.45862083129400033,-1.1427618486786635,0.472081024314579,-0.8539345274490354,-1.8756232208223311,-1.9360288563380919,2.890228109404408,-0.549313786382816
2_1,-0.6656247862749498,-0.676152095721024,-0.25405800684428254,0.2846448424830118,0.06946752669712337,0.5660484072935209,-0.533044850575975,-0.549313786382816
2_3,-0.8583526064296271,-0.3391561630293956,0.11309094149446722,-1.3093662754218542,-0.48627268687986364,-1.9360288563380919,-0.05089372945197692,0.3495633186072432
2_4,-1.1795656400207557,-1.1427618486786635,-1.037309096633617,-1.0816504014354449,2.014558274216578,0.7466106840504415,-0.533044850575975,-0.549313786382816
3_0,1.004682988398919,-0.20954234276338457,-0.7843842655558111,0.7400765904558307,0.3473376334856169,0.38548613053660047,-1.738422653385969,0.3495633186072432
3_1,-0.31229044932470834,0.3089129383006596,0.472081024314579,0.7400765904558307,0.3473376334856169,-0.078816866838338,-0.05089372945197692,-0.549313786382816
3_3,-0.31229044932470834,2.045738129865208,-0.25405800684428254,0.7400765904558307,0.3473376334856169,0.8497891279115389,-0.05089372945197692,0.3495633186072432
3_4,1.486502538785612,1.00882756773712,-0.5192211362000468,0.9677924644422401,0.903077847062604,0.33389690860605176,-0.34018440212637574,2.1473175285873642
4_0,-0.9868378198660784,-0.0021602303377667277,0.11309094149446722,0.7400765904558307,-0.48627268687986364,-0.8526551957965687,2.3116467640556126,-0.549313786382816
4_1,-0.34441175268382124,-0.0021602303377667277,0.472081024314579,-1.0816504014354449,-0.7641427936683571,-0.8526551957965687,-0.05089372945197692,-0.549313786382816
4_2,0.6834699548077904,0.15337635398144595,-0.8170197276303667,0.5123607164694213,-1.7366881674280845,0.7466106840504415,-0.34018440212637574,0.3495633186072432
4_3,-0.31229044932470834,-0.0021602303377667277,0.11309094149446722,0.5123607164694213,0.6252077402741104,-0.8526551957965687,-0.05089372945197692,-0.549313786382816
